trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-114.00868884266742,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-43.63288994311606,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-91.45201892962285,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-59.351870428409576,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-82.5955345775488,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-279.17553057670233,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,-107.96346512182053,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-27.452405323783736,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-147.0781166373905,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",25,8,-104.92649956887047,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-162.05664980349542,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-141.91193879992142,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",25,0,-143.86467481037653,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-126.2370253107888,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.985}",30,0,-151.96615034074702,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-62.944435342960254,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-111.23861292408077,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-65.09942608596235,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.981}",30,0,-147.07984633791023,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-84.54887896873583,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.979}",30,18,-9.014355242083866,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.978}",20,0,-96.27748596871051,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.977}",30,0,-112.87523005758106,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.976}",20,0,-112.50661866869672,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.975}",25,0,-66.17891219568452,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.974}",25,0,-136.76240213595136,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.973}",30,0,-182.95033089679293,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.972}",20,0,-115.56226274292926,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.971}",30,0,-204.31795000844156,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
30,False,"{'a': 0.5, 'e': 0.97}",25,0,-183.85967864599863,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.969}",25,0,-183.8581712049805,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.968}",25,0,-68.09788878345492,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.967}",30,0,-162.36583272931966,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
