trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,12,-77.45400705688219,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-89.99359299707973,"{0: 24, 1: 6, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-118.35701533100561,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,2,-137.09474033887324,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-265.2722341579154,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,9,-196.82266091953062,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-148.2990337296785,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-73.13964808899951,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-92.17954292484097,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.58622280618627,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-118.47111088953413,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-211.1019135581346,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-56.77966784944156,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-166.69229441913745,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.81402099364993,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-133.16375770011354,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-90.78678279986215,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-134.5879361661684,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-104.9898092052536,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-14.325647300507875,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-131.0449618928891,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-144.43855929885555,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-116.2203133017022,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-38.38899965612061,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,7,-6.541703740318783,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,0,-198.1874277089399,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-28.230546013334997,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-87.73619622212803,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-99.89933913151285,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-115.58572360230161,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
